Plan Type,Price,Plan Title,Plan Subtitle,Details,Wi-Fi Modem,Image URL
Internet,$54.99/mo.,UltraFibre 1Gig Unlimited,Do everything. All at once.,1 Gig,Wi-Fi modem included,https://www.cogeco.ca/static/media/internet_1_Gb_0dfa22020f/internet_1_Gb_0dfa22020f.svg
Internet,$49.99/mo.,UltraFibre 360 Unlimited,"Work, stream and game",360 Mbps,Wi-Fi modem included,https://www.cogeco.ca/static/media/internet_360mbs_0614cf076e/internet_360mbs_0614cf076e.svg
Internet,$49.99/mo.,UltraFibre 180 Unlimited,Work from home and stream,180 Mbps,Wi-Fi modem included,https://www.cogeco.ca/static/media/internet_180mbs_1fcb2f962e/internet_180mbs_1fcb2f962e.svg
Internet,$49.99/mo.,UltraFibre 90 Unlimited,"Browse, check email and social media",90 Mbps,Wi-Fi modem included,https://www.cogeco.ca/static/media/internet_90mbs_019f399682/internet_90mbs_019f399682.svg
Internet,$44.99/mo.,UltraFibre 60 Unlimited,Check email and social media,60 Mbps,Wi-Fi modem included,https://www.cogeco.ca/static/media/internet_60mbs_8641c56e5b/internet_60mbs_8641c56e5b.svg
Internet + TV,$94.99/mo.,EPICO Basic + UltraFibre 90,"Local, community and educational channels",30 basic channels | Up to 90 Mbps download speed | Wi-Fi modem included | ,Wi-Fi modem included,
Internet + TV,$119.99/mo.,EPICO Intro + UltraFibre 180,Get the freedom to choose 10 channels,10 channels of your choice | 30 basic channels | Up to 180 Mbps download speed | Wi-Fi modem included | ,Wi-Fi modem included,https://www.cogeco.ca/_next/image?url=https%3A%2F%2Fwww.cogeco.ca%2Fstatic%2Fmedia%2Fassets%2Fchannels%2Famc.png&w=96&q=75
Internet + TV,$154.99/mo.,EPICO X-Stream + UltraFibre 1Gig,Get the freedom to choose 30 channels,30 channels of your choice | 30 basic channels | Up to 1 Gig download speed | Wi-Fi modem included | ,Wi-Fi modem included,https://www.cogeco.ca/_next/image?url=https%3A%2F%2Fwww.cogeco.ca%2Fstatic%2Fmedia%2Fassets%2Fchannels%2Famc.png&w=96&q=75
