"Starter 100 Mbps","$60/month
On a 2-year ValuePlan. $95/month thereafter.","/month","On a 2-year ValuePlan. $95/month thereafter.",,"Powered by Rogers Xfinity Internet;Supports streaming, TV and security;Up to 100 Mbps download speeds;Unlimited usage up to 10 devices;24 months Rogers Xfinity Streaming on us;$50 bill credit","internet plan","current rogers and fido customers"
"Essentials 250 Mbps","$70/month
On a 2-year ValuePlan. $105/month thereafter.","/month","On a 2-year ValuePlan. $105/month thereafter.",,"Powered by Rogers Xfinity Internet;Supports streaming, TV and security;Up to 250 Mbps download speeds;Unlimited usage for 10-15 devices;24 months Rogers Xfinity Streaming on us;$50 bill credit","internet plan","current rogers and fido customers"
"Popular 500 Mbps","$90/month
On a 2-year ValuePlan. $115/month thereafter.","/month","On a 2-year ValuePlan. $115/month thereafter.",,"Powered by Rogers Xfinity Internet;Supports streaming, TV and security;Up to 500 Mbps download speeds;Unlimited usage for 15-20 devices;24 months Rogers Xfinity Streaming on us;$50 bill credit","internet plan","current rogers and fido customers"
"Ultimate 1G","$100/month
On a 2-year ValuePlan. $125/month thereafter.","/month","On a 2-year ValuePlan. $125/month thereafter.",,"Powered by Rogers Xfinity Internet;Supports streaming, TV and security;Up to 1 Gbps download speeds;Unlimited usage for 20+ devices;24 months Rogers Xfinity Streaming on us;$50 bill credit","internet plan","current rogers and fido customers"
"Pro 2G","$120/month
On a 2-year ValuePlan. $145/month thereafter.","/month","On a 2-year ValuePlan. $145/month thereafter.",,"Powered by Rogers Xfinity Internet;Supports streaming, TV and security;Up to 2 Gbps download speeds;Unlimited usage for 25+ devices;24 months Rogers Xfinity Streaming on us;$50 bill credit","internet plan","current rogers and fido customers"
